# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:14:16 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
Kepler-168 b,0,4.42534621,0.054300,,,,0.000000,580.32,1252,,6251.00,1.12,1.09,-0.060,,4.38,,0.9020
Kepler-168 b,0,4.42541200,0.055000,,,,0.000000,,1201,,6250.00,1.04,1.12,,,4.45,0.500,
Kepler-168 b,0,4.42534621,0.054300,,,,0.000000,580.32,1252,,6251.00,1.12,1.09,-0.060,,4.38,,0.9020
Kepler-168 b,0,4.42534621,0.054300,,,,0.000000,580.32,1252,,6251.00,1.12,1.09,-0.060,,4.38,,0.9020
Kepler-168 b,0,4.42534621,,,,,,,,,6364.00,1.48,1.30,0.090,,4.21,2.290,
Kepler-168 b,0,4.42535097,0.054700,,,,0.000000,559.22,1240,,5946.00,1.22,1.11,0.160,,4.31,,0.8639
Kepler-168 b,0,,,,,,,725.06,,,5947.00,1.39,,,,,,
Kepler-168 b,0,4.42535097,,,,,,,,,6031.00,1.39,1.12,,0.361,4.20,,0.5911
Kepler-168 b,0,4.42535352,,,,,,,,,6031.00,1.39,1.12,,0.361,4.20,,0.5911
Kepler-168 b,0,4.42539100,0.056000,,,,,,,,6282.00,1.11,,,,4.42,,
Kepler-168 c,0,13.19322809,,,,,,,,,6031.00,1.39,1.12,,0.361,4.20,,0.5911
Kepler-168 c,0,13.19320920,,,,,,,,,6364.00,1.48,1.30,0.090,,4.21,2.290,
Kepler-168 c,0,13.19308754,,,,,,,,,6031.00,1.39,1.12,,0.361,4.20,,0.5911
Kepler-168 c,0,13.19320920,0.112500,,,,0.000000,135.20,870,,6251.00,1.12,1.09,-0.060,,4.38,,0.9668
Kepler-168 c,0,13.19324200,0.116000,,,,,,,,6282.00,1.11,,,,4.42,,
Kepler-168 c,0,13.19320021,,,,,,,,,6031.00,1.39,1.12,,0.361,4.20,,0.5911
Kepler-168 c,0,13.19322809,0.113300,,,,0.000000,130.35,862,,5946.00,1.22,1.11,0.160,,4.31,,0.9494
Kepler-168 c,0,,,,,,,169.00,,,5947.00,1.39,,,,,,
Kepler-168 c,0,13.19320920,0.112500,,,,0.000000,135.20,870,,6251.00,1.12,1.09,-0.060,,4.38,,0.9668
Kepler-168 c,0,13.19326000,0.113000,,,,0.000000,,838,,6250.00,1.04,1.12,,,4.45,0.500,
Kepler-168 c,0,13.19320920,0.112500,,,,0.000000,135.20,870,,6251.00,1.12,1.09,-0.060,,4.38,,0.9668
Kepler-1680 b,0,8.77426218,0.078400,,,,0.000000,83.63,771,,5146.00,0.91,0.83,0.200,,4.45,,7.9615
Kepler-1680 b,0,8.77406000,0.081000,,,,0.000000,,1073,,5046.00,1.88,0.92,,,3.85,13.800,
Kepler-1680 b,0,8.77424000,,,,,,,,,5021.00,0.72,0.83,,-0.524,4.64,,3.1078
Kepler-1680 b,0,8.77419863,,,,,,,,,5021.00,0.72,0.83,,-0.524,4.64,,3.1078
Kepler-1680 b,0,8.77426218,0.078400,,,,0.000000,83.63,771,,5146.00,0.91,0.83,0.200,,4.45,,7.9615
Kepler-1680 b,0,8.77425786,0.078400,,,,0.000000,83.63,771,,5146.00,0.91,0.83,0.200,,4.45,,0.5848
Kepler-1680 b,0,8.77426218,0.078400,,,,0.000000,83.63,771,,5146.00,0.91,0.83,0.200,,4.45,,7.9615
Kepler-1680 b,0,8.77425786,,,,,,,,,5021.00,0.72,0.83,,-0.524,4.64,,3.1078
Kepler-1681 b,0,69.89560000,,,,,,,,,5756.40,,,0.106,,,,
Kepler-1681 b,0,69.89567890,,,,,,,,,5756.40,,,0.106,,,,
Kepler-1681 b,0,69.89410000,0.321000,,,,0.000000,,398,,5584.00,0.84,0.90,,,4.55,3.300,
Kepler-1681 b,0,69.89567890,0.320000,,,,0.000000,8.99,442,,5390.00,1.10,0.89,0.200,,4.30,,0.6293
Kepler-1681 b,0,69.89594640,,,,,,,,,5756.40,,,0.106,,,,
Kepler-1681 b,0,69.89571580,0.298500,,,,0.000000,5.33,387,,5509.00,0.76,0.72,-0.600,,4.54,,3.4500
Kepler-1681 b,0,69.89571580,0.298500,,,,0.000000,5.33,387,,5509.00,0.76,0.72,-0.600,,4.54,,3.4500
Kepler-1681 b,0,69.89571580,0.298500,,,,0.000000,5.33,387,,5509.00,0.76,0.72,-0.600,,4.54,,3.4500
Kepler-1682 b,0,14.83340944,0.113400,,,,0.000000,54.74,694,,5570.00,0.90,0.88,-0.080,,4.47,,1.7439
Kepler-1682 b,0,14.83220000,0.116000,,,,0.000000,,725,,5764.00,0.94,0.93,,,4.46,5.700,
Kepler-1682 b,0,14.83339324,0.115200,,,,0.000000,66.61,729,,5776.00,0.94,0.93,-0.140,,4.46,,0.2003
Kepler-1682 b,0,14.83339324,0.115200,,,,0.000000,66.61,729,,5776.00,0.94,0.93,-0.140,,4.46,,0.2003
Kepler-1682 b,0,14.83329152,,,,,,,,,5619.12,0.84,0.99,-0.048,-0.196,4.58,,2.3356
Kepler-1682 b,0,14.83339324,0.115200,,,,0.000000,66.61,729,,5776.00,0.94,0.93,-0.140,,4.46,,0.2003
Kepler-1682 b,0,14.83340000,,,,,,,,,5619.12,0.84,0.99,-0.048,-0.196,4.58,,2.3356
Kepler-1682 b,0,14.83340944,,,,,,,,,5619.12,0.84,0.99,-0.048,-0.196,4.58,,2.3356
Kepler-1683 b,0,15.03353729,,,,,,,,,5429.00,0.90,0.95,,-0.198,4.51,,1.8352
Kepler-1683 b,0,15.03366411,0.118200,,,,0.000000,47.32,669,,5523.00,0.89,0.97,0.160,,4.53,,3.8127
Kepler-1683 b,0,15.03366571,0.115500,,,,0.000000,64.64,723,,5522.00,1.02,0.91,0.100,,4.38,,3.6971
Kepler-1683 b,0,15.03343000,0.112000,,,,0.000000,,692,,5450.00,0.93,0.83,,,4.42,13.600,
Kepler-1683 b,0,15.03370000,,,,,,,,,5429.00,0.90,0.95,,-0.198,4.51,,1.8352
Kepler-1683 b,0,15.03366571,0.115500,,,,0.000000,64.64,723,,5522.00,1.02,0.91,0.100,,4.38,,3.6971
Kepler-1683 b,0,15.03366571,0.115500,,,,0.000000,64.64,723,,5522.00,1.02,0.91,0.100,,4.38,,3.6971
Kepler-1683 b,0,15.03366411,,,,,,,,,5429.00,0.90,0.95,,-0.198,4.51,,1.8352
Kepler-1684 b,0,47.70870000,0.224000,,,,0.000000,,337,,4300.00,0.71,0.65,,,4.55,,
Kepler-1684 b,0,47.70525660,,,,,,,,,4706.54,0.67,0.75,0.127,-0.707,4.67,,3.5672
Kepler-1684 b,0,47.70525660,0.225300,,,,0.000000,3.42,347,,4551.00,0.67,0.67,-0.140,,4.61,,0.2209
Kepler-1684 b,0,47.70546120,0.225900,,,,0.000000,3.20,341,,4505.00,0.67,0.67,-0.100,,4.62,,0.1177
Kepler-1684 b,0,47.70550000,,,,,,,,,4706.54,0.67,0.75,0.127,-0.707,4.67,,3.5672
Kepler-1684 b,0,47.70546120,0.225900,,,,0.000000,3.20,341,,4505.00,0.67,0.67,-0.100,,4.62,,0.1177
Kepler-1684 b,0,47.70459360,,,,,,,,,4706.54,0.67,0.75,0.127,-0.707,4.67,,3.5672
Kepler-1684 b,0,47.70546120,0.225900,,,,0.000000,3.20,341,,4505.00,0.67,0.67,-0.100,,4.62,,0.1177
Kepler-1685 b,0,20.49041000,,,,,,,,,5484.00,0.84,0.96,,-0.245,4.58,,2.3210
Kepler-1685 b,0,20.49040290,0.148500,,,,0.000000,36.01,625,,5681.00,0.92,1.04,0.210,,4.52,,0.1758
Kepler-1685 b,0,20.49050000,,,,,,,,,5484.00,0.84,0.96,,-0.245,4.58,,2.3210
Kepler-1685 b,0,20.49013000,0.147000,,,,0.000000,,579,,5470.00,0.85,1.01,,,4.59,,
Kepler-1685 b,0,20.49041000,0.148500,,,,0.000000,36.01,625,,5681.00,0.92,1.04,0.210,,4.52,,2.2199
Kepler-1685 b,0,20.49054658,,,,,,,,,5484.00,0.84,0.96,,-0.245,4.58,,2.3210
Kepler-1685 b,0,20.49040290,0.148500,,,,0.000000,36.01,625,,5681.00,0.92,1.04,0.210,,4.52,,0.1758
Kepler-1685 b,0,20.49040290,0.148500,,,,0.000000,36.01,625,,5681.00,0.92,1.04,0.210,,4.52,,0.1758
Kepler-1686 b,0,9.30989826,0.086600,,,,0.000000,164.38,913,,5806.00,1.10,1.00,0.060,,4.35,,2.2062
Kepler-1686 b,0,9.30987000,,,,,,,,,5714.96,1.20,1.02,0.077,0.141,4.29,,0.8332
Kepler-1686 b,0,9.30991834,,,,,,,,,5714.96,1.20,1.02,0.077,0.141,4.29,,0.8332
Kepler-1686 b,0,9.30955000,0.089000,,,,0.000000,,898,,6123.00,0.98,1.07,,,4.48,0.400,
Kepler-1686 b,0,9.30991834,0.086600,,,,0.000000,164.38,913,,5806.00,1.10,1.00,0.060,,4.35,,1.1581
Kepler-1686 b,0,9.30989826,0.086600,,,,0.000000,164.38,913,,5806.00,1.10,1.00,0.060,,4.35,,2.2062
Kepler-1686 b,0,9.30989826,0.086600,,,,0.000000,164.38,913,,5806.00,1.10,1.00,0.060,,4.35,,2.2062
Kepler-1687 b,0,5.77954000,,,,,,,,,4132.00,0.73,0.65,,-0.859,4.53,,2.3936
Kepler-1687 b,0,5.77957200,0.053000,,,,0.000000,,607,,4256.00,0.55,0.58,,,4.72,13.800,
Kepler-1687 b,0,5.77957133,0.053200,,,,0.000000,30.22,598,,4102.00,0.58,0.60,-0.140,,4.69,,0.1868
Kepler-1687 b,0,5.77957133,,,,,,,,,4132.00,0.73,0.65,,-0.859,4.53,,2.3936
Kepler-1687 b,0,5.77955922,0.052200,,,,0.000000,26.34,578,,4024.00,0.55,0.56,-0.200,,4.71,,1.5002
Kepler-1687 b,0,5.77955922,0.052200,,,,0.000000,26.34,578,,4024.00,0.55,0.56,-0.200,,4.71,,1.5002
Kepler-1687 b,0,5.77955922,0.052200,,,,0.000000,26.34,578,,4024.00,0.55,0.56,-0.200,,4.71,,1.5002
Kepler-1688 b,0,5.62005172,0.060800,,,,0.000000,464.22,1184,,4897.00,1.83,0.95,0.240,,3.89,,3.1436
Kepler-1688 b,0,5.62005172,0.060800,,,,0.000000,464.22,1184,,4897.00,1.83,0.95,0.240,,3.89,,3.1436
Kepler-1688 b,0,5.62005172,0.060800,,,,0.000000,464.22,1184,,4897.00,1.83,0.95,0.240,,3.89,,3.1436
Kepler-1688 b,0,5.62012000,,,,,,,,,4632.11,,,-0.046,,,,
Kepler-1688 b,0,5.62008419,,,,,,,,,4632.11,,,-0.046,,,,
Kepler-1688 b,0,5.62004700,0.055000,,,,0.000000,,740,,4797.00,0.70,0.69,,,4.62,14.000,
Kepler-1688 b,0,5.62006198,,,,,,,,,4632.11,,,-0.046,,,,
Kepler-1688 b,0,5.62006198,0.057700,,,,0.000000,84.01,772,,4868.00,0.75,0.81,0.140,,4.60,,0.0728
Kepler-1689 b,0,8.48299282,0.079800,,,,0.000000,141.04,879,,5827.00,0.93,0.94,-0.160,,4.47,,2.6544
Kepler-1689 b,0,8.48293296,0.079100,,,,0.000000,161.32,909,,5798.00,1.00,0.92,-0.160,,4.40,,4.7511
Kepler-1689 b,0,8.48299282,,,,,,,,,5731.43,1.00,1.02,-0.146,-0.016,4.45,,1.4588
Kepler-1689 b,0,8.48300000,,,,,,,,,5731.43,1.00,1.02,-0.146,-0.016,4.45,,1.4588
Kepler-1689 b,0,8.48294900,0.082000,,,,0.000000,,914,,5995.00,0.98,1.02,,,4.46,2.500,
Kepler-1689 b,0,8.48293296,0.079100,,,,0.000000,161.32,909,,5798.00,1.00,0.92,-0.160,,4.40,,4.7511
Kepler-1689 b,0,8.48293296,0.079100,,,,0.000000,161.32,909,,5798.00,1.00,0.92,-0.160,,4.40,,4.7511
Kepler-169 b,0,3.25058053,,,,,,,,,5070.00,0.78,0.84,0.050,,4.58,3.720,
Kepler-169 b,0,3.25064100,0.042000,,,,0.000000,,1487,,5058.00,1.86,0.92,,,3.86,13.800,
Kepler-169 b,0,3.25058053,0.040700,,,,0.000000,341.13,1096,,5173.00,0.94,0.85,0.260,,4.42,,2.6235
Kepler-169 b,0,3.25058201,0.040000,,,,0.000000,202.09,962,,5001.00,0.76,0.81,0.040,,4.58,,1.0226
Kepler-169 b,0,3.25058053,0.040700,,,,0.000000,341.13,1096,,5173.00,0.94,0.85,0.260,,4.42,,2.6235
Kepler-169 b,0,3.25058644,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 b,0,3.25061900,0.040000,,,,,,,,4997.00,0.76,,,,4.58,,
Kepler-169 b,0,3.25058201,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 b,0,3.25058053,0.040700,,,,0.000000,341.13,1096,,5173.00,0.94,0.85,0.260,,4.42,,2.6235
Kepler-169 b,0,,,,,,,195.22,,,5046.00,0.73,,,,,,
Kepler-169 c,0,6.19554400,0.064000,,,,0.000000,,1204,,5058.00,1.86,0.92,,,3.86,13.800,
Kepler-169 c,0,6.19546900,0.062000,,,,,,,,4997.00,0.76,,,,4.58,,
Kepler-169 c,0,6.19547175,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 c,0,6.19545950,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 c,0,6.19543693,0.062600,,,,0.000000,144.20,884,,5173.00,0.94,0.85,0.260,,4.42,,2.6133
Kepler-169 c,0,6.19558232,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 c,0,,,,,,,82.85,,,5046.00,0.73,,,,,,
Kepler-169 c,0,6.19545950,0.061400,,,,0.000000,85.77,776,,5001.00,0.76,0.81,0.040,,4.58,,0.9855
Kepler-169 c,0,6.19543693,0.062600,,,,0.000000,144.20,884,,5173.00,0.94,0.85,0.260,,4.42,,2.6133
Kepler-169 c,0,6.19543693,,,,,,,,,5070.00,0.78,0.84,0.050,,4.58,3.720,
Kepler-169 c,0,6.19543693,0.062600,,,,0.000000,144.20,884,,5173.00,0.94,0.85,0.260,,4.42,,2.6133
Kepler-169 d,0,8.34819209,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 d,0,8.34820746,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 d,0,8.34811000,0.078000,,,,0.000000,,1091,,5058.00,1.86,0.92,,,3.86,13.800,
Kepler-169 d,0,8.34818817,,,,,,,,,5070.00,0.78,0.84,0.050,,4.58,3.720,
Kepler-169 d,0,8.34818817,0.076300,,,,0.000000,97.06,800,,5173.00,0.94,0.85,0.260,,4.42,,0.3649
Kepler-169 d,0,8.34819209,0.075000,,,,0.000000,57.48,702,,5001.00,0.76,0.81,0.040,,4.58,,0.7783
Kepler-169 d,0,,,,,,,55.53,,,5046.00,0.73,,,,,,
Kepler-169 d,0,8.34818817,0.076300,,,,0.000000,97.06,800,,5173.00,0.94,0.85,0.260,,4.42,,0.3649
Kepler-169 d,0,8.34817754,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 d,0,8.34818817,0.076300,,,,0.000000,97.06,800,,5173.00,0.94,0.85,0.260,,4.42,,0.3649
Kepler-169 d,0,8.34812500,0.075000,,,,,,,,4997.00,0.76,,,,4.58,,
Kepler-169 e,0,,,,,,,28.55,,,5046.00,0.73,,,,,,
Kepler-169 e,0,13.76708539,,,,,,,,,5070.00,0.78,0.84,0.050,,4.58,3.720,
Kepler-169 e,0,13.76710200,0.105000,,,,,,,,4997.00,0.76,,,,4.58,,
Kepler-169 e,0,13.76714500,0.109000,,,,0.000000,,923,,5058.00,1.86,0.92,,,3.86,13.800,
Kepler-169 e,0,13.76708539,0.106500,,,,0.000000,49.82,678,,5173.00,0.94,0.85,0.260,,4.42,,0.9632
Kepler-169 e,0,13.76708539,0.106500,,,,0.000000,49.82,678,,5173.00,0.94,0.85,0.260,,4.42,,0.9632
Kepler-169 e,0,13.76708181,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 e,0,13.76710058,0.104600,,,,0.000000,29.55,595,,5001.00,0.76,0.81,0.040,,4.58,,1.2171
Kepler-169 e,0,13.76706856,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 e,0,13.76708539,0.106500,,,,0.000000,49.82,678,,5173.00,0.94,0.85,0.260,,4.42,,0.9632
Kepler-169 e,0,13.76710058,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 f,0,87.09046342,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 f,0,87.09086000,0.374000,,,,0.000000,,498,,5058.00,1.86,0.92,,,3.86,13.800,
Kepler-169 f,0,87.09059940,0.364400,,,,0.000000,4.26,366,,5173.00,0.94,0.85,0.260,,4.42,,3.2750
Kepler-169 f,0,87.09019500,0.359000,,,,,,,,4997.00,0.76,,,,4.58,,
Kepler-169 f,0,,,,,,,2.44,,,5046.00,0.73,,,,,,
Kepler-169 f,0,87.09125940,0.357900,,,,0.000000,2.52,321,,5001.00,0.76,0.81,0.040,,4.58,,0.4606
Kepler-169 f,0,87.09059940,0.364400,,,,0.000000,4.26,366,,5173.00,0.94,0.85,0.260,,4.42,,3.2750
Kepler-169 f,0,87.09125940,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 f,0,87.09059940,0.364400,,,,0.000000,4.26,366,,5173.00,0.94,0.85,0.260,,4.42,,3.2750
Kepler-169 f,0,87.09056794,,,,,,,,,4930.00,0.77,0.81,,-0.496,4.57,,2.4600
Kepler-169 f,0,87.09059940,,,,,,,,,5070.00,0.78,0.84,0.050,,4.58,3.720,
Kepler-1690 b,0,234.63537900,0.714300,,,,0.000000,1.31,273,,5735.00,0.83,0.88,-0.300,,4.54,,6.5458
Kepler-1690 b,0,234.63454522,,,,,,,,,5404.00,0.86,0.94,,-0.243,4.54,,2.0666
Kepler-1690 b,0,234.63600000,,,,,,,,,5404.00,0.86,0.94,,-0.243,4.54,,2.0666
Kepler-1690 b,0,234.63537900,0.714300,,,,0.000000,1.31,273,,5735.00,0.83,0.88,-0.300,,4.54,,6.5458
Kepler-1690 b,0,234.63537900,0.714300,,,,0.000000,1.31,273,,5735.00,0.83,0.88,-0.300,,4.54,,6.5458
Kepler-1690 b,0,234.63560000,0.721000,,,,0.000000,,294,,5717.00,0.98,0.91,,,4.41,8.500,
Kepler-1690 b,0,234.63565200,,,,,,,,,5404.00,0.86,0.94,,-0.243,4.54,,2.0666
Kepler-1690 b,0,234.63565200,0.709700,,,,0.000000,1.20,267,,5422.00,0.89,0.87,0.000,,4.48,,6.3281
Kepler-1691 b,0,3.84822130,0.051400,,,,0.000000,726.29,1324,,6362.00,1.14,1.22,0.070,,4.41,,2.6997
Kepler-1691 b,0,3.84822189,0.049500,,,,0.000000,641.53,1283,,5927.00,1.19,1.09,0.160,,4.32,,3.3579
Kepler-1691 b,0,3.84820000,,,,,,,,,6000.00,1.13,1.11,,0.175,4.38,,1.0802
Kepler-1691 b,0,3.84822130,0.051400,,,,0.000000,726.29,1324,,6362.00,1.14,1.22,0.070,,4.41,,2.6997
Kepler-1691 b,0,3.84820800,0.050000,,,,0.000000,,1297,,6325.00,1.08,1.14,,,4.43,0.610,
Kepler-1691 b,0,3.84822130,0.051400,,,,0.000000,726.29,1324,,6362.00,1.14,1.22,0.070,,4.41,,2.6997
Kepler-1691 b,0,3.84822189,,,,,,,,,6000.00,1.13,1.11,,0.175,4.38,,1.0802
Kepler-1692 b,0,5.95960845,0.064600,,,,0.000000,153.48,898,,5452.00,0.90,1.01,0.360,,4.54,,2.1294
Kepler-1692 b,0,5.95958637,0.064600,,,,0.000000,153.48,897,,5452.00,0.90,1.01,0.360,,4.54,,1.9259
Kepler-1692 b,0,5.95960845,0.064600,,,,0.000000,153.48,898,,5452.00,0.90,1.01,0.360,,4.54,,2.1294
Kepler-1692 b,0,5.95958500,0.060000,,,,0.000000,,841,,5299.00,0.78,0.82,,,4.57,6.100,
Kepler-1692 b,0,5.95960845,0.064600,,,,0.000000,153.48,898,,5452.00,0.90,1.01,0.360,,4.54,,2.1294
Kepler-1692 b,0,5.95958637,,,,,,,,,5146.00,0.87,0.87,,-0.324,4.50,,1.8877
Kepler-1692 b,0,5.95966000,,,,,,,,,5146.00,0.87,0.87,,-0.324,4.50,,1.8877
Kepler-1693 b,0,12.09997831,0.101500,,,,0.000000,66.86,729,,5693.00,0.86,0.95,-0.080,,4.55,,2.7090
Kepler-1693 b,0,12.09990000,,,,,,,,,5432.34,0.88,0.95,0.026,-0.218,4.53,,1.9768
Kepler-1693 b,0,12.09990650,,,,,,,,,5432.34,0.88,0.95,0.026,-0.218,4.53,,1.9768
Kepler-1693 b,0,12.09990650,0.101100,,,,0.000000,100.37,807,,5553.00,1.10,0.94,0.160,,4.33,,2.2808
Kepler-1693 b,0,12.10001000,0.101000,,,,0.000000,,723,,5677.00,0.84,0.94,,,4.56,0.800,
Kepler-1693 b,0,12.09997831,0.101500,,,,0.000000,66.86,729,,5693.00,0.86,0.95,-0.080,,4.55,,2.7090
Kepler-1693 b,0,12.09997831,0.101500,,,,0.000000,66.86,729,,5693.00,0.86,0.95,-0.080,,4.55,,2.7090
Kepler-1693 c,0,5.36374214,0.059000,,,,0.000000,197.89,957,,5693.00,0.86,0.95,-0.080,,4.55,,1.4073
Kepler-1693 c,0,5.36375016,,,,,,,,,5432.34,0.88,0.95,0.026,-0.218,4.53,,1.9768
Kepler-1693 c,0,5.36374214,0.059000,,,,0.000000,197.89,957,,5693.00,0.86,0.95,-0.080,,4.55,,1.4073
Kepler-1693 c,0,5.36374214,0.059000,,,,0.000000,197.89,957,,5693.00,0.86,0.95,-0.080,,4.55,,1.4073
Kepler-1693 c,0,5.36375016,0.058800,,,,0.000000,296.73,1059,,5553.00,1.10,0.94,0.160,,4.33,,1.8360
Kepler-1693 c,0,5.36371700,0.059000,,,,0.000000,,947,,5677.00,0.84,0.94,,,4.56,0.800,
Kepler-1693 c,0,5.36370993,,,,,,,,,5553.00,1.10,0.94,0.160,,4.33,,1.8360
Kepler-1694 b,0,3.89523300,0.045000,,,,0.000000,,866,,5038.00,0.68,0.78,,,4.66,0.700,
Kepler-1694 b,0,3.89523349,0.042600,,,,0.000000,118.48,841,,4972.00,0.63,0.68,-0.580,,4.67,,6.2973
Kepler-1694 b,0,3.89524296,0.044900,,,,0.000000,197.66,956,,5018.00,0.84,0.80,0.140,,4.49,,6.5678
Kepler-1694 b,0,3.89523349,0.042600,,,,0.000000,118.48,841,,4972.00,0.63,0.68,-0.580,,4.67,,6.2973
Kepler-1694 b,0,3.89524296,,,,,,,,,4954.00,0.76,0.82,,-0.508,4.59,,2.6725
Kepler-1694 b,0,3.89523349,0.042600,,,,0.000000,118.48,841,,4972.00,0.63,0.68,-0.580,,4.67,,6.2973
Kepler-1694 b,0,3.89526000,,,,,,,,,4954.00,0.76,0.82,,-0.508,4.59,,2.6725
Kepler-1695 b,0,4.73292085,0.052600,,,,0.000000,196.14,954,,5583.00,0.79,0.86,-0.260,,4.58,,8.5680
Kepler-1695 b,0,4.73292061,,,,,,,,,5473.19,0.99,0.96,-0.035,-0.104,4.43,,1.4070
Kepler-1695 b,0,4.73290000,,,,,,,,,5473.19,0.99,0.96,-0.035,-0.104,4.43,,1.4070
Kepler-1695 b,0,4.73292085,0.052600,,,,0.000000,196.14,954,,5583.00,0.79,0.86,-0.260,,4.58,,8.5680
Kepler-1695 b,0,4.73291400,0.054000,,,,0.000000,,962,,5604.00,0.82,0.92,,,4.58,0.500,
Kepler-1695 b,0,4.73292085,0.052600,,,,0.000000,196.14,954,,5583.00,0.79,0.86,-0.260,,4.58,,8.5680
Kepler-1695 b,0,4.73292061,0.052900,,,,0.000000,198.57,957,,5595.00,0.80,0.89,-0.240,,4.58,,7.5959
Kepler-1696 b,0,65.94132600,0.324500,,,,0.000000,10.03,454,,5982.00,0.96,1.05,-0.040,,4.49,,1.3212
Kepler-1696 b,0,65.94078690,0.324400,,,,0.000000,10.04,454,,5982.00,0.96,1.05,-0.040,,4.49,,1.0694
Kepler-1696 b,0,65.94125490,,,,,,,,,5712.00,1.20,1.02,,0.139,4.29,,0.8361
Kepler-1696 b,0,65.94132600,0.324500,,,,0.000000,10.03,454,,5982.00,0.96,1.05,-0.040,,4.49,,1.3212
Kepler-1696 b,0,65.94078690,,,,,,,,,5712.00,1.20,1.02,,0.139,4.29,,0.8361
Kepler-1696 b,0,65.94090000,,,,,,,,,5712.00,1.20,1.02,,0.139,4.29,,0.8361
Kepler-1696 b,0,65.94132600,0.324500,,,,0.000000,10.03,454,,5982.00,0.96,1.05,-0.040,,4.49,,1.3212
Kepler-1697 b,0,33.49803036,,,,,,,,,4681.53,0.77,0.75,0.034,-0.588,4.54,,2.2859
Kepler-1697 b,0,33.49763130,0.200800,,,,0.000000,37.30,630,,4928.00,1.69,0.96,0.480,,3.97,,3.8912
Kepler-1697 b,0,33.49691150,0.200800,,,,0.000000,37.30,630,,4928.00,1.69,0.96,0.480,,3.97,,0.0910
Kepler-1697 b,0,33.49763130,0.200800,,,,0.000000,37.30,630,,4928.00,1.69,0.96,0.480,,3.97,,3.8912
Kepler-1697 b,0,33.49690000,,,,,,,,,4681.53,0.77,0.75,0.034,-0.588,4.54,,2.2859
Kepler-1697 b,0,33.49691150,,,,,,,,,4681.53,0.77,0.75,0.034,-0.588,4.54,,2.2859
Kepler-1697 b,0,33.49763130,0.200800,,,,0.000000,37.30,630,,4928.00,1.69,0.96,0.480,,3.97,,3.8912
Kepler-1698 b,0,1.21069363,,,,,,,,,4975.03,0.74,0.82,0.080,-0.518,4.61,,2.8403
Kepler-1698 b,0,1.21069487,,,,,,,,,4975.03,0.74,0.82,0.080,-0.518,4.61,,2.8403
Kepler-1698 b,0,1.21069328,0.019900,,,,0.000000,800.22,1356,,5019.00,0.75,0.72,-0.220,,4.55,,0.5078
Kepler-1698 b,0,1.21069363,0.020300,,,,0.000000,784.51,1351,,5014.00,0.76,0.76,-0.100,,4.56,,1.9490
Kepler-1698 b,0,1.21070000,,,,,,,,,4975.03,0.74,0.82,0.080,-0.518,4.61,,2.8403
Kepler-1698 b,0,1.21069328,0.019900,,,,0.000000,800.22,1356,,5019.00,0.75,0.72,-0.220,,4.55,,0.5078
